VALIDATION: the kernel's deep vertical-bore machine (cap 0.15 m beyond F, r_cap 0.286, F2 3 m below F, no slot, no strut) against the torch twin, 128 x 512 rays, same noise draws, sigb 0.0043
    day/hour    el    who |  through   shadow     hole   no hit crossing     bore       M3      way   collar
  172/12      83.2 kernel |    80.6%     1.8%     4.0%     0.0%     0.0%     0.1%     0.8%     0.0%    12.6%
                     twin |    80.0%     1.8%     4.0%     0.0%     0.0%     0.1%     0.8%     0.0%    13.2%
   80/12      59.4 kernel |     8.2%     1.8%     4.0%     0.0%    84.8%     0.1%     0.1%     0.0%     1.0%
                     twin |     8.2%     1.8%     4.0%     0.0%    84.8%     0.1%     0.1%     0.0%     1.0%
   80/9       37.4 kernel |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%
                     twin |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%
  355/12      36.4 kernel |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%
                     twin |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%

THE COUDE RELAY, midsummer noon (el 83), sigb 0.0043, with the sun's disc: stalk at (1.25, 0.0), deck z 3.6, M4 at z 5.35, stalk 1.4 m beside the axis, M3 patch r 0.55, M4 patch r 0.6, pivot bore r 0.3 over 0.4-1.0 m from the stalk, stalk r 0.46
(a first sweep, kept in the README: F2 at 1.2-1.5 m behind the vertex with M3 relaying 1:1 or magnifying lost 33-70 % of the rays in the pivot's bore - the cap's image, 10-14 cm rms at magnification 16-26, is too large for a 0.30 m bore with the cone it carries; so F2 comes in towards the vertex and M3 demagnifies)
neck   2c     d  mag   s1  s1p   s2  s2p hole | throug cap sh   hole  blade no cap   film     M3  pivot     M4  stalk turn M    way collar | rms radii cm: F2  M3  F3 piv  M4 F2c deck
 1.8 1.20  0.15    9 1.65 0.70 0.70 3.50 0.40 |  76.3%   1.4%   2.2%   0.0%   0.0%   0.2%   9.3%   4.8%   5.4%   0.3%   0.0%   0.0%   0.1% |  8.0 38.0  3.6 17.1 37.2 13.1 12.5
 1.8 1.20  0.15    9 1.65 0.70 0.70 3.50 0.50 |  74.2%   1.4%   4.4%   0.0%   0.0%   0.0%   9.4%   4.8%   5.4%   0.3%   0.0%   0.0%   0.1% |  8.2 38.4  3.6 17.2 37.4 13.1 12.6
 1.8 1.20  0.15    9 1.65 0.80 0.60 2.00 0.40 |  67.9%   1.4%   2.2%   0.0%   0.0%   0.2%   9.5%   2.6%   0.8%   0.0%   2.8%   0.0%  12.5% |  8.0 38.1  4.0 15.4 29.2 10.4  7.7
 1.8 1.20  0.15    9 1.65 0.80 0.60 2.00 0.50 |  66.1%   1.4%   4.4%   0.0%   0.0%   0.0%   9.5%   2.6%   0.8%   0.0%   2.8%   0.0%  12.2% |  8.2 38.5  4.0 15.5 29.4 10.4  7.7
 1.8 1.20  0.15    9 1.65 0.80 0.60 2.80 0.40 |  80.7%   1.4%   2.2%   0.0%   0.0%   0.2%   9.5%   2.6%   1.1%   0.0%   0.3%   0.0%   2.0% |  8.0 38.1  4.0 15.4 29.6 14.4  8.3
 1.8 1.20  0.15    9 1.65 0.80 0.60 2.80 0.50 |  78.6%   1.4%   4.4%   0.0%   0.0%   0.0%   9.5%   2.6%   1.1%   0.0%   0.3%   0.0%   2.0% |  8.2 38.5  4.0 15.5 29.7 14.4  8.4
 1.8 1.20  0.15    9 1.65 0.80 0.60 3.50 0.40 |  82.3%   1.4%   2.2%   0.0%   0.0%   0.2%   9.5%   2.6%   1.3%   0.0%   0.1%   0.0%   0.4% |  8.0 38.1  4.0 15.4 29.7 18.0 10.0
 1.8 1.20  0.15    9 1.65 0.80 0.60 3.50 0.50 |  80.2%   1.4%   4.4%   0.0%   0.0%   0.0%   9.5%   2.6%   1.3%   0.0%   0.1%   0.0%   0.4% |  8.2 38.5  4.0 15.5 29.9 18.0 10.2
 1.8 1.20  0.20    7 1.65 0.60 0.80 2.00 0.40 |  40.9%   2.6%   1.0%   0.0%   0.0%   0.0%  15.7%  21.5%   9.1%   0.1%   0.9%   0.0%   8.2% |  6.4 42.7  2.7 29.3 44.8  4.8  5.7
 1.8 1.20  0.20    7 1.65 0.60 0.80 2.00 0.50 |  39.0%   2.6%   3.2%   0.0%   0.0%   0.0%  15.6%  21.4%   9.0%   0.1%   0.9%   0.0%   8.0% |  6.4 43.1  2.7 29.6 45.3  4.8  5.8
 1.8 1.20  0.20    7 1.65 0.60 0.80 2.80 0.40 |  48.6%   2.6%   1.0%   0.0%   0.0%   0.0%  15.7%  21.5%  10.1%   0.4%   0.0%   0.0%   0.0% |  6.4 42.7  2.7 29.3 45.7  6.7 12.8
 1.8 1.20  0.20    7 1.65 0.60 0.80 2.80 0.50 |  46.6%   2.6%   3.2%   0.0%   0.0%   0.0%  15.6%  21.4%  10.1%   0.4%   0.0%   0.0%   0.0% |  6.4 43.1  2.7 29.6 46.2  6.8 13.1
 1.8 1.20  0.20    7 1.65 0.60 0.80 3.50 0.40 |  47.8%   2.6%   1.0%   0.0%   0.0%   0.0%  15.7%  21.5%  10.7%   0.7%   0.0%   0.0%   0.0% |  6.4 42.7  2.7 29.3 46.3  8.4 16.7
 1.8 1.20  0.20    7 1.65 0.60 0.80 3.50 0.50 |  45.7%   2.6%   3.2%   0.0%   0.0%   0.0%  15.6%  21.4%  10.6%   0.7%   0.0%   0.0%   0.0% |  6.4 43.1  2.7 29.6 46.8  8.4 17.0
 1.8 1.20  0.20    7 1.65 0.70 0.70 2.00 0.40 |  59.3%   2.6%   1.0%   0.0%   0.0%   0.0%  16.0%   5.0%   2.9%   0.0%   1.7%   0.0%  11.4% |  6.4 42.8  2.9 17.7 37.7  6.3  5.9
 1.8 1.20  0.20    7 1.65 0.70 0.70 2.00 0.50 |  57.3%   2.6%   3.2%   0.0%   0.0%   0.0%  16.0%   5.0%   2.9%   0.0%   1.7%   0.0%  11.2% |  6.4 43.2  2.9 17.9 38.0  6.3  5.9
 1.8 1.20  0.20    7 1.65 0.70 0.70 2.80 0.40 |  70.9%   2.6%   1.0%   0.0%   0.0%   0.0%  16.0%   5.0%   3.7%   0.4%   0.0%   0.0%   0.3% |  6.4 42.8  2.9 17.7 38.2  8.8 11.6
 1.8 1.20  0.20    7 1.65 0.70 0.70 2.80 0.50 |  68.8%   2.6%   3.2%   0.0%   0.0%   0.0%  16.0%   5.0%   3.7%   0.4%   0.0%   0.0%   0.3% |  6.4 43.2  2.9 17.9 38.6  8.8 11.7
 1.8 1.20  0.20    7 1.65 0.70 0.70 3.50 0.40 |  70.5%   2.6%   1.0%   0.0%   0.0%   0.0%  16.0%   5.0%   4.1%   0.6%   0.0%   0.0%   0.0% |  6.4 42.8  2.9 17.7 38.5 11.0 15.1
 1.8 1.20  0.20    7 1.65 0.70 0.70 3.50 0.50 |  68.4%   2.6%   3.2%   0.0%   0.0%   0.0%  16.0%   5.0%   4.1%   0.6%   0.0%   0.0%   0.0% |  6.4 43.2  2.9 17.9 38.9 11.0 15.3
 1.8 1.20  0.20    7 1.65 0.80 0.60 2.00 0.40 |  66.9%   2.6%   1.0%   0.0%   0.0%   0.0%  16.3%   4.0%   0.2%   0.0%   1.2%   0.0%   7.7% |  6.4 42.9  3.2 17.3 29.4  8.7  7.1
 1.8 1.20  0.20    7 1.65 0.80 0.60 2.00 0.50 |  64.8%   2.6%   3.2%   0.0%   0.0%   0.0%  16.3%   4.0%   0.2%   0.0%   1.2%   0.0%   7.6% |  6.4 43.3  3.2 17.5 29.6  8.7  7.1
 1.8 1.20  0.20    7 1.65 0.80 0.60 2.80 0.40 |  74.8%   2.6%   1.0%   0.0%   0.0%   0.0%  16.3%   4.0%   0.4%   0.0%   0.1%   0.0%   0.7% |  6.4 42.9  3.2 17.3 29.7 12.0  9.7
 1.8 1.20  0.20    7 1.65 0.80 0.60 2.80 0.50 |  72.7%   2.6%   3.2%   0.0%   0.0%   0.0%  16.3%   4.0%   0.4%   0.0%   0.1%   0.0%   0.7% |  6.4 43.3  3.2 17.5 30.0 12.0  9.8
 1.8 1.20  0.20    7 1.65 0.80 0.60 3.50 0.40 |  75.4%   2.6%   1.0%   0.0%   0.0%   0.0%  16.3%   4.0%   0.4%   0.0%   0.1%   0.0%   0.2% |  6.4 42.9  3.2 17.3 29.9 15.0 12.1
 1.8 1.20  0.20    7 1.65 0.80 0.60 3.50 0.50 |  73.2%   2.6%   3.2%   0.0%   0.0%   0.0%  16.3%   4.0%   0.4%   0.0%   0.1%   0.0%   0.2% |  6.4 43.3  3.2 17.5 30.1 15.0 12.2
 1.8 1.20  0.25    6 1.65 0.60 0.80 2.00 0.50 |  28.7%   4.0%   1.8%   0.0%   0.0%   0.0%  28.3%  21.2%   8.1%   0.1%   0.7%   0.0%   7.0% |  5.4 48.9  2.4 31.6 47.5  4.4  6.2
 1.8 1.20  0.25    6 1.65 0.60 0.80 2.80 0.50 |  34.8%   4.0%   1.8%   0.0%   0.0%   0.0%  28.3%  21.2%   9.2%   0.6%   0.0%   0.0%   0.0% |  5.4 48.9  2.4 31.6 48.6  6.2 14.3
 1.8 1.20  0.25    6 1.65 0.60 0.80 3.50 0.50 |  33.9%   4.0%   1.8%   0.0%   0.0%   0.0%  28.3%  21.2%   9.8%   0.9%   0.0%   0.0%   0.0% |  5.4 48.9  2.4 31.6 49.1  7.7 18.4
 1.8 1.20  0.25    6 1.65 0.70 0.70 2.00 0.50 |  47.6%   4.0%   1.8%   0.0%   0.0%   0.0%  28.6%   5.2%   2.0%   0.1%   1.1%   0.0%   9.6% |  5.4 49.1  2.7 19.0 39.5  5.7  6.2
 1.8 1.20  0.25    6 1.65 0.70 0.70 2.80 0.50 |  57.0%   4.0%   1.8%   0.0%   0.0%   0.0%  28.6%   5.2%   2.6%   0.5%   0.0%   0.0%   0.2% |  5.4 49.1  2.7 19.0 40.1  7.9 13.1
 1.8 1.20  0.25    6 1.65 0.70 0.70 3.50 0.50 |  56.3%   4.0%   1.8%   0.0%   0.0%   0.0%  28.6%   5.2%   3.0%   0.9%   0.0%   0.0%   0.0% |  5.4 49.1  2.7 19.0 40.4  9.8 17.0
 1.8 1.20  0.25    6 1.65 0.80 0.60 2.00 0.50 |  54.8%   4.0%   1.8%   0.0%   0.0%   0.0%  29.0%   5.1%   0.1%   0.0%   0.6%   0.0%   4.5% |  5.4 49.3  2.9 19.2 30.3  7.8  7.0
 1.8 1.20  0.25    6 1.65 0.80 0.60 2.80 0.50 |  59.4%   4.0%   1.8%   0.0%   0.0%   0.0%  29.0%   5.1%   0.2%   0.0%   0.2%   0.0%   0.3% |  5.4 49.3  2.9 19.2 30.6 10.9 10.8
 1.8 1.20  0.25    6 1.65 0.80 0.60 3.50 0.50 |  59.6%   4.0%   1.8%   0.0%   0.0%   0.0%  29.0%   5.1%   0.2%   0.0%   0.1%   0.0%   0.1% |  5.4 49.3  2.9 19.2 30.8 13.5 13.5
 1.8 1.35  0.15   10 1.50 0.60 0.80 2.00 0.40 |  52.5%   1.6%   2.0%   0.0%   0.0%   0.2%   5.2%  18.1%   7.2%   0.0%   1.7%   0.0%  11.5% |  8.9 33.4  4.1 25.6 39.9  6.6  5.0
 1.8 1.35  0.15   10 1.50 0.60 0.80 2.00 0.50 |  50.9%   1.6%   4.2%   0.0%   0.0%   0.0%   5.2%  17.9%   7.1%   0.0%   1.7%   0.0%  11.2% |  9.1 33.7  4.1 25.7 40.1  6.6  5.1
 1.8 1.35  0.15   10 1.50 0.60 0.80 2.80 0.40 |  64.5%   1.6%   2.0%   0.0%   0.0%   0.2%   5.2%  18.1%   7.9%   0.2%   0.0%   0.0%   0.4% |  8.9 33.4  4.1 25.6 40.6  9.1  9.7
 1.8 1.35  0.15   10 1.50 0.60 0.80 2.80 0.50 |  62.6%   1.6%   4.2%   0.0%   0.0%   0.0%   5.2%  17.9%   7.8%   0.2%   0.0%   0.0%   0.4% |  9.1 33.7  4.1 25.7 40.8  9.1  9.8
 1.8 1.35  0.15   10 1.50 0.60 0.80 3.50 0.40 |  64.3%   1.6%   2.0%   0.0%   0.0%   0.2%   5.2%  18.1%   8.3%   0.3%   0.0%   0.0%   0.0% |  8.9 33.4  4.1 25.6 41.0 11.3 12.9
 1.8 1.35  0.15   10 1.50 0.60 0.80 3.50 0.50 |  62.4%   1.6%   4.2%   0.0%   0.0%   0.0%   5.2%  17.9%   8.2%   0.3%   0.0%   0.0%   0.0% |  9.1 33.7  4.1 25.7 41.2 11.3 13.1
 1.8 1.35  0.15   10 1.50 0.70 0.70 2.00 0.40 |  62.4%   1.6%   2.0%   0.0%   0.0%   0.2%   5.2%   4.7%   4.9%   0.0%   3.3%   0.0%  15.6% |  8.9 33.5  4.5 16.8 35.5  9.2  6.4
 1.8 1.35  0.15   10 1.50 0.70 0.70 2.00 0.50 |  60.8%   1.6%   4.2%   0.0%   0.0%   0.0%   5.3%   4.6%   4.9%   0.0%   3.2%   0.0%  15.3% |  9.1 33.8  4.5 16.9 35.7  9.2  6.4
 1.8 1.35  0.15   10 1.50 0.70 0.70 2.80 0.40 |  78.7%   1.6%   2.0%   0.0%   0.0%   0.2%   5.2%   4.7%   5.6%   0.1%   0.1%   0.0%   1.9% |  8.9 33.5  4.5 16.8 36.0 12.6  8.2
 1.8 1.35  0.15   10 1.50 0.70 0.70 2.80 0.50 |  76.7%   1.6%   4.2%   0.0%   0.0%   0.0%   5.3%   4.6%   5.5%   0.1%   0.1%   0.0%   1.8% |  9.1 33.8  4.5 16.9 36.2 12.6  8.3
 1.8 1.35  0.15   10 1.50 0.70 0.70 3.50 0.40 |  80.1%   1.6%   2.0%   0.0%   0.0%   0.2%   5.2%   4.7%   5.9%   0.2%   0.0%   0.0%   0.2% |  8.9 33.5  4.5 16.8 36.3 15.7 10.7
 1.8 1.35  0.15   10 1.50 0.70 0.70 3.50 0.50 |  78.0%   1.6%   4.2%   0.0%   0.0%   0.0%   5.3%   4.6%   5.8%   0.2%   0.0%   0.0%   0.2% |  9.1 33.8  4.5 16.9 36.5 15.7 10.8
 1.8 1.35  0.15   10 1.50 0.80 0.60 2.00 0.40 |  66.3%   1.6%   2.0%   0.0%   0.0%   0.2%   5.2%   1.8%   2.0%   0.0%   4.9%   0.0%  16.0% |  8.9 33.6  4.9 14.3 29.5 12.6  9.2
 1.8 1.35  0.15   10 1.50 0.80 0.60 2.00 0.50 |  64.6%   1.6%   4.2%   0.0%   0.0%   0.0%   5.3%   1.8%   2.0%   0.0%   4.8%   0.0%  15.6% |  9.1 33.9  4.9 14.4 29.6 12.6  9.2
 1.8 1.35  0.15   10 1.50 0.80 0.60 2.80 0.40 |  82.0%   1.6%   2.0%   0.0%   0.0%   0.2%   5.2%   1.8%   2.4%   0.0%   0.8%   0.0%   4.0% |  8.9 33.6  4.9 14.3 29.8 17.4  8.0
 1.8 1.35  0.15   10 1.50 0.80 0.60 2.80 0.50 |  80.0%   1.6%   4.2%   0.0%   0.0%   0.0%   5.3%   1.8%   2.3%   0.0%   0.8%   0.0%   3.9% |  9.1 33.9  4.9 14.4 29.9 17.4  8.0
 1.8 1.35  0.15   10 1.50 0.80 0.60 3.50 0.40 |  85.2%   1.6%   2.0%   0.0%   0.0%   0.2%   5.2%   1.8%   2.6%   0.0%   0.2%   0.0%   1.2% |  8.9 33.6  4.9 14.3 30.0 21.6  8.9
 1.8 1.35  0.15   10 1.50 0.80 0.60 3.50 0.50 |  83.1%   1.6%   4.2%   0.0%   0.0%   0.0%   5.3%   1.8%   2.5%   0.0%   0.2%   0.0%   1.2% |  9.1 33.9  4.9 14.4 30.1 21.6  9.0
 1.8 1.35  0.20    8 1.50 0.60 0.80 2.00 0.40 |  50.5%   2.8%   0.8%   0.0%   0.0%   0.0%   6.7%  19.3%   8.7%   0.0%   1.3%   0.0%   9.8% |  7.1 36.7  3.3 26.9 42.5  5.6  5.5
 1.8 1.35  0.20    8 1.50 0.60 0.80 2.00 0.50 |  48.6%   2.8%   3.0%   0.0%   0.0%   0.0%   6.7%  19.3%   8.7%   0.0%   1.2%   0.0%   9.6% |  7.1 37.0  3.3 27.2 42.9  5.6  5.6
 1.8 1.35  0.20    8 1.50 0.60 0.80 2.80 0.40 |  60.3%   2.8%   0.8%   0.0%   0.0%   0.0%   6.7%  19.3%   9.6%   0.3%   0.0%   0.0%   0.1% |  7.1 36.7  3.3 26.9 43.4  7.7 11.7
 1.8 1.35  0.20    8 1.50 0.60 0.80 2.80 0.50 |  58.2%   2.8%   3.0%   0.0%   0.0%   0.0%   6.7%  19.3%   9.6%   0.3%   0.0%   0.0%   0.1% |  7.1 37.0  3.3 27.2 43.8  7.7 11.9
 1.8 1.35  0.20    8 1.50 0.60 0.80 3.50 0.40 |  59.8%   2.8%   0.8%   0.0%   0.0%   0.0%   6.7%  19.3%  10.0%   0.5%   0.0%   0.0%   0.0% |  7.1 36.7  3.3 26.9 43.8  9.7 15.3
 1.8 1.35  0.20    8 1.50 0.60 0.80 3.50 0.50 |  57.7%   2.8%   3.0%   0.0%   0.0%   0.0%   6.7%  19.3%  10.0%   0.5%   0.0%   0.0%   0.0% |  7.1 37.0  3.3 27.2 44.2  9.7 15.5
 1.8 1.35  0.20    8 1.50 0.70 0.70 2.00 0.40 |  65.9%   2.8%   0.8%   0.0%   0.0%   0.0%   6.9%   4.5%   4.1%   0.0%   2.1%   0.0%  12.8% |  7.1 36.8  3.6 16.9 36.3  7.5  6.1
 1.8 1.35  0.20    8 1.50 0.70 0.70 2.00 0.50 |  63.9%   2.8%   3.0%   0.0%   0.0%   0.0%   6.9%   4.5%   4.1%   0.0%   2.1%   0.0%  12.6% |  7.1 37.1  3.6 17.0 36.5  7.5  6.1
 1.8 1.35  0.20    8 1.50 0.70 0.70 2.80 0.40 |  79.1%   2.8%   0.8%   0.0%   0.0%   0.0%   6.9%   4.5%   4.9%   0.2%   0.1%   0.0%   0.7% |  7.1 36.8  3.6 16.9 36.8 10.4 10.2
 1.8 1.35  0.20    8 1.50 0.70 0.70 2.80 0.50 |  77.0%   2.8%   3.0%   0.0%   0.0%   0.0%   6.9%   4.5%   4.9%   0.2%   0.1%   0.0%   0.7% |  7.1 37.1  3.6 17.0 37.1 10.4 10.3
 1.8 1.35  0.20    8 1.50 0.70 0.70 3.50 0.40 |  79.3%   2.8%   0.8%   0.0%   0.0%   0.0%   6.9%   4.5%   5.2%   0.3%   0.0%   0.0%   0.1% |  7.1 36.8  3.6 16.9 37.1 13.0 13.2
 1.8 1.35  0.20    8 1.50 0.70 0.70 3.50 0.50 |  77.2%   2.8%   3.0%   0.0%   0.0%   0.0%   6.9%   4.5%   5.2%   0.3%   0.0%   0.0%   0.1% |  7.1 37.1  3.6 17.0 37.3 13.0 13.4
 1.8 1.35  0.20    8 1.50 0.80 0.60 2.00 0.40 |  72.0%   2.8%   0.8%   0.0%   0.0%   0.0%   7.2%   2.9%   0.8%   0.0%   2.4%   0.0%  11.2% |  7.1 36.9  4.0 15.6 28.9 10.3  7.9
 1.8 1.35  0.20    8 1.50 0.80 0.60 2.00 0.50 |  70.0%   2.8%   3.0%   0.0%   0.0%   0.0%   7.2%   2.8%   0.8%   0.0%   2.4%   0.0%  11.0% |  7.1 37.2  4.0 15.8 29.0 10.3  8.0
 1.8 1.35  0.20    8 1.50 0.80 0.60 2.80 0.40 |  83.2%   2.8%   0.8%   0.0%   0.0%   0.0%   7.2%   2.9%   1.0%   0.0%   0.3%   0.0%   1.7% |  7.1 36.9  4.0 15.6 29.2 14.3  9.0
 1.8 1.35  0.20    8 1.50 0.80 0.60 2.80 0.50 |  81.1%   2.8%   3.0%   0.0%   0.0%   0.0%   7.2%   2.8%   1.0%   0.0%   0.3%   0.0%   1.7% |  7.1 37.2  4.0 15.8 29.4 14.3  9.1
 1.8 1.35  0.20    8 1.50 0.80 0.60 3.50 0.40 |  84.6%   2.8%   0.8%   0.0%   0.0%   0.0%   7.2%   2.9%   1.2%   0.0%   0.1%   0.0%   0.4% |  7.1 36.9  4.0 15.6 29.3 17.8 10.8
 1.8 1.35  0.20    8 1.50 0.80 0.60 3.50 0.50 |  82.5%   2.8%   3.0%   0.0%   0.0%   0.0%   7.2%   2.8%   1.2%   0.0%   0.1%   0.0%   0.4% |  7.1 37.2  4.0 15.8 29.5 17.8 10.9
 1.8 1.35  0.25    6 1.50 0.60 0.80 2.00 0.50 |  40.4%   4.2%   1.6%   0.0%   0.0%   0.0%  12.1%  22.3%   9.8%   0.1%   1.0%   0.0%   8.5% |  5.9 41.5  2.9 29.6 45.9  5.0  6.0
 1.8 1.35  0.25    6 1.50 0.60 0.80 2.80 0.50 |  48.3%   4.2%   1.6%   0.0%   0.0%   0.0%  12.1%  22.3%  10.9%   0.5%   0.0%   0.0%   0.1% |  5.9 41.5  2.9 29.6 46.9  7.0 13.3
 1.8 1.35  0.25    6 1.50 0.60 0.80 3.50 0.50 |  47.5%   4.2%   1.6%   0.0%   0.0%   0.0%  12.1%  22.3%  11.5%   0.8%   0.0%   0.0%   0.0% |  5.9 41.5  2.9 29.6 47.4  8.7 17.3
 1.8 1.35  0.25    6 1.50 0.70 0.70 2.00 0.50 |  59.6%   4.2%   1.6%   0.0%   0.0%   0.0%  12.7%   5.2%   3.3%   0.1%   1.7%   0.0%  11.6% |  5.9 41.6  3.2 18.0 38.3  6.5  6.2
 1.8 1.35  0.25    6 1.50 0.70 0.70 2.80 0.50 |  71.4%   4.2%   1.6%   0.0%   0.0%   0.0%  12.7%   5.2%   4.1%   0.3%   0.0%   0.0%   0.3% |  5.9 41.6  3.2 18.0 38.9  9.1 11.9
 1.8 1.35  0.25    6 1.50 0.70 0.70 3.50 0.50 |  71.0%   4.2%   1.6%   0.0%   0.0%   0.0%  12.7%   5.2%   4.6%   0.6%   0.0%   0.0%   0.1% |  5.9 41.6  3.2 18.0 39.2 11.3 15.5
 1.8 1.35  0.25    6 1.50 0.80 0.60 2.00 0.50 |  67.2%   4.2%   1.6%   0.0%   0.0%   0.0%  13.1%   4.2%   0.4%   0.0%   1.3%   0.0%   8.0% |  5.9 41.8  3.5 17.6 29.9  9.0  7.5
 1.8 1.35  0.25    6 1.50 0.80 0.60 2.80 0.50 |  75.4%   4.2%   1.6%   0.0%   0.0%   0.0%  13.1%   4.2%   0.5%   0.0%   0.2%   0.0%   0.8% |  5.9 41.8  3.5 17.6 30.2 12.5 10.1
 1.8 1.35  0.25    6 1.50 0.80 0.60 3.50 0.50 |  76.0%   4.2%   1.6%   0.0%   0.0%   0.0%  13.1%   4.2%   0.6%   0.0%   0.1%   0.0%   0.2% |  5.9 41.8  3.5 17.6 30.4 15.6 12.5
 1.8 1.50  0.15   11 1.35 0.60 0.80 2.00 0.40 |  53.4%   1.6%   2.0%   0.0%   0.0%   0.2%   3.3%  17.5%   5.8%   0.0%   2.4%   0.0%  13.7% |  9.7 29.7  5.2 24.7 37.9  7.8  5.3
 1.8 1.50  0.15   11 1.35 0.60 0.80 2.00 0.50 |  51.9%   1.6%   4.2%   0.0%   0.0%   0.0%   3.4%  17.3%   5.7%   0.0%   2.4%   0.0%  13.4% | 10.0 30.0  5.2 24.9 38.0  7.8  5.4
 1.8 1.50  0.15   11 1.35 0.60 0.80 2.80 0.40 |  67.8%   1.6%   2.0%   0.0%   0.0%   0.2%   3.3%  17.5%   6.4%   0.1%   0.0%   0.0%   1.0% |  9.7 29.7  5.2 24.7 38.5 10.7  8.4
 1.8 1.50  0.15   11 1.35 0.60 0.80 2.80 0.50 |  66.0%   1.6%   4.2%   0.0%   0.0%   0.0%   3.4%  17.3%   6.3%   0.1%   0.0%   0.0%   1.0% | 10.0 30.0  5.2 24.9 38.6 10.7  8.5
 1.8 1.50  0.15   11 1.35 0.60 0.80 3.50 0.40 |  68.4%   1.6%   2.0%   0.0%   0.0%   0.2%   3.3%  17.5%   6.8%   0.1%   0.0%   0.0%   0.0% |  9.7 29.7  5.2 24.7 38.8 13.3 11.4
 1.8 1.50  0.15   11 1.35 0.60 0.80 3.50 0.50 |  66.5%   1.6%   4.2%   0.0%   0.0%   0.0%   3.4%  17.3%   6.7%   0.1%   0.0%   0.0%   0.0% | 10.0 30.0  5.2 24.9 38.9 13.3 11.5
 1.8 1.50  0.15   11 1.35 0.70 0.70 2.00 0.40 |  59.7%   1.6%   2.0%   0.0%   0.0%   0.2%   3.3%   5.4%   4.7%   0.0%   4.8%   0.0%  18.3% |  9.7 29.9  5.6 17.2 34.6 11.0  7.6
 1.8 1.50  0.15   11 1.35 0.70 0.70 2.00 0.50 |  58.1%   1.6%   4.2%   0.0%   0.0%   0.0%   3.4%   5.4%   4.7%   0.0%   4.7%   0.0%  17.8% | 10.0 30.1  5.6 17.2 34.7 11.0  7.6
 1.8 1.50  0.15   11 1.35 0.70 0.70 2.80 0.40 |  78.3%   1.6%   2.0%   0.0%   0.0%   0.2%   3.3%   5.4%   5.3%   0.0%   0.3%   0.0%   3.5% |  9.7 29.9  5.6 17.2 35.1 15.2  7.3
 1.8 1.50  0.15   11 1.35 0.70 0.70 2.80 0.50 |  76.3%   1.6%   4.2%   0.0%   0.0%   0.0%   3.4%   5.4%   5.2%   0.0%   0.3%   0.0%   3.5% | 10.0 30.1  5.6 17.2 35.2 15.2  7.4
 1.8 1.50  0.15   11 1.35 0.70 0.70 3.50 0.40 |  81.2%   1.6%   2.0%   0.0%   0.0%   0.2%   3.3%   5.4%   5.5%   0.1%   0.0%   0.0%   0.6% |  9.7 29.9  5.6 17.2 35.3 18.8  9.2
 1.8 1.50  0.15   11 1.35 0.70 0.70 3.50 0.50 |  79.2%   1.6%   4.2%   0.0%   0.0%   0.0%   3.4%   5.4%   5.4%   0.1%   0.0%   0.0%   0.6% | 10.0 30.1  5.6 17.2 35.4 18.8  9.3
 1.8 1.50  0.15   11 1.35 0.80 0.60 2.00 0.40 |  60.9%   1.6%   2.0%   0.0%   0.0%   0.2%   3.3%   1.8%   2.9%   0.0%   8.0%   0.0%  19.2% |  9.7 30.0  6.2 14.0 29.9 15.3 11.3
 1.8 1.50  0.15   11 1.35 0.80 0.60 2.00 0.50 |  59.4%   1.6%   4.2%   0.0%   0.0%   0.0%   3.5%   1.7%   2.9%   0.0%   7.8%   0.0%  18.8% | 10.0 30.3  6.2 14.0 29.9 15.3 11.3
 1.8 1.50  0.15   11 1.35 0.80 0.60 2.80 0.40 |  79.3%   1.6%   2.0%   0.0%   0.0%   0.2%   3.3%   1.8%   3.3%   0.0%   1.9%   0.0%   6.6% |  9.7 30.0  6.2 14.0 30.2 21.0  8.5
 1.8 1.50  0.15   11 1.35 0.80 0.60 2.80 0.50 |  77.4%   1.6%   4.2%   0.0%   0.0%   0.0%   3.5%   1.7%   3.3%   0.0%   1.8%   0.0%   6.4% | 10.0 30.3  6.2 14.0 30.3 21.0  8.5
 1.8 1.50  0.15   11 1.35 0.80 0.60 3.50 0.40 |  84.2%   1.6%   2.0%   0.0%   0.0%   0.2%   3.3%   1.8%   3.5%   0.0%   0.6%   0.0%   2.8% |  9.7 30.0  6.2 14.0 30.4 26.1  8.4
 1.8 1.50  0.15   11 1.35 0.80 0.60 3.50 0.50 |  82.2%   1.6%   4.2%   0.0%   0.0%   0.0%   3.5%   1.7%   3.5%   0.0%   0.5%   0.0%   2.7% | 10.0 30.3  6.2 14.0 30.5 26.1  8.5
 1.8 1.50  0.20    8 1.35 0.60 0.80 2.00 0.40 |  57.0%   2.8%   0.8%   0.0%   0.0%   0.0%   3.1%  16.4%   6.9%   0.0%   1.6%   0.0%  11.3% |  7.7 31.7  4.1 24.5 39.4  6.6  5.4
